,Asalariados,Pensionistas,Desempleados,Prestacionistas,Otros_ingresos,Code,Index_Gini,dist_rent_p80_p20,media_edad,percent_menos_18,percernt_mas_65,tamaño_casa_media,percent_casa_unipersonales,habitantes,Renta neta media por persona ,renta_media_hogar,media_unidad_consumo,mediana_unidad_consumo,renta_bruta_persona,renta_bruta_hogar,viviendas_turisticas,plazas,plaza_vivienda_turistica,percent_vivienda_turistica
1450,8092.0,5610.0,233.0,648.0,2532.0,1045,35.8,3.7,48.9,13.3,32.0,2.31,34.7,821.0,14.139,33.072,20.348,17.850,17.114,40.032,2,6,3.0,0.4
1451,8439.0,5617.0,209.0,592.0,2497.0,1046,33.7,3.1,49.8,13.4,32.4,2.41,31.0,888.0,14.189,34.671,20.862,17.150,17.354,42.405,3,4,1.3,0.5
1452,8631.0,4306.0,216.0,512.0,1893.0,1047,30.3,2.6,44.7,18.3,24.2,2.64,21.5,1288.0,13.024,34.623,19.506,17.850,15.558,41.359,0,0,0.0,0.0
1453,9511.0,2342.0,224.0,514.0,1133.0,1048,25.6,2.4,41.6,17.2,12.4,2.76,18.4,1378.0,11.574,31.921,17.558,16.450,13.724,37.851,3,5,1.7,0.5
1454,8453.0,2691.0,258.0,718.0,690.0,1049,26.3,2.2,43.1,17.2,19.4,2.56,23.6,1487.0,10.918,28.279,16.412,15.050,12.809,33.179,0,0,0.0,0.0
1455,8065.0,3539.0,330.0,449.0,1071.0,1050,28.3,2.3,43.9,17.2,21.2,2.51,26.8,1220.0,11.381,28.688,16.751,15.750,13.453,33.912,5,16,3.2,0.8
1456,9011.0,2471.0,283.0,491.0,1310.0,1051,27.8,2.5,41.8,18.9,16.9,2.59,23.2,1283.0,11.418,29.565,17.003,16.450,13.565,35.126,4,5,1.3,0.7
1457,13897.0,2833.0,207.0,744.0,2992.0,1052,29.9,2.6,40.3,20.7,12.7,2.76,21.5,2092.0,16.272,45.390,25.396,23.450,20.674,57.668,6,27,4.5,0.6
1458,13607.0,2598.0,171.0,512.0,2739.0,1053,34.2,3.1,39.7,19.5,11.1,2.47,31.7,2209.0,15.333,38.305,22.961,21.350,19.626,49.032,25,83,3.3,1.8
1459,10456.0,2046.0,303.0,603.0,1451.0,1054,34.4,2.9,40.1,17.9,15.1,2.3,37.4,1713.0,12.232,28.496,17.948,15.750,14.859,34.617,15,63,4.2,1.6
1460,6841.0,1825.0,283.0,542.0,837.0,1101,36.4,3.2,40.3,17.8,13.0,2.64,29.2,1284.0,8.874,24.294,13.510,11.550,10.326,28.270,19,78,4.1,2.9
1461,5953.0,1943.0,285.0,553.0,746.0,1102,39.4,4.1,40.2,18.5,14.5,2.57,33.2,1461.0,8.256,21.732,12.296,10.150,9.480,24.955,27,88,3.3,3.4
1462,9887.0,3341.0,214.0,590.0,1633.0,1104,33.2,3.0,43.8,17.5,21.6,2.5,27.8,1266.0,12.792,32.941,19.106,17.150,15.666,40.342,21,88,4.2,3.5
1463,8848.0,3002.0,284.0,510.0,1386.0,1105,32.8,3.0,42.6,17.4,18.0,2.5,30.7,1693.0,11.817,29.659,17.620,15.050,14.031,35.215,23,104,4.5,2.3
1464,10162.0,4294.0,269.0,595.0,2004.0,1106,31.1,2.7,45.5,15.4,22.4,2.41,33.5,1136.0,14.105,34.281,21.030,19.250,17.324,42.105,35,135,3.9,6.2
1465,7090.0,2938.0,283.0,500.0,967.0,1108,37.2,3.9,44.0,15.4,20.1,2.3,37.0,1981.0,10.034,23.618,14.414,12.950,11.778,27.722,9,36,4.0,1.9
1466,10885.0,2552.0,220.0,629.0,1487.0,1109,33.6,2.9,40.5,20.7,14.9,2.57,28.2,2310.0,12.774,32.945,19.309,17.150,15.772,40.677,26,100,3.8,2.7
1467,0.0,0.0,0.0,0.0,0.0,1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,57,226,4.0,5.1
