location_raw;Renta neta media por persona ;Renta neta media por hogar;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar
3800101005 Adeje sección 01005;9.557;29.201;15.578;15.050;11.163;34.111
3800101006 Adeje sección 01006;8.728;28.078;13.952;12.250;10.142;32.629
3800101007 Adeje sección 01007;7.781;18.754;11.878;9.450;9.143;22.037
3800101008 Adeje sección 01008;8.555;20.873;14.057;11.550;10.155;24.777
3800101009 Adeje sección 01009;10.640;31.477;17.346;15.050;12.926;38.239
3800101010 Adeje sección 01010;11.051;38.555;18.114;16.450;13.199;46.050
3800101011 Adeje sección 01011;7.691;18.081;12.004;10.150;9.028;21.224
3800101012 Adeje sección 01012;10.278;30.106;15.927;13.650;12.474;36.537
3800101013 Adeje sección 01013;10.360;28.377;17.375;12.950;12.615;34.555
3800101014 Adeje sección 01014;9.240;24.918;14.236;12.950;10.624;28.649
3800101015 Adeje sección 01015;8.514;26.969;13.614;12.250;9.669;30.628
3800101016 Adeje sección 01016;9.049;27.185;14.375;13.650;10.623;31.914
3800101017 Adeje sección 01017;8.484;20.063;13.063;11.550;10.026;23.709
3800101018 Adeje sección 01018;9.819;25.737;16.116;12.250;12.244;32.094
46001 Ademuz;9.785;22.739;14.227;12.250;11.225;26.087
4600101 Ademuz distrito 01;9.785;22.739;14.227;12.250;11.225;26.087
4600101001 Ademuz sección 01001;9.785;22.739;14.227;12.250;11.225;26.087
31007 Adiós;.;.;;;;
3100701 Adiós distrito 01;.;.;;;;
3100701001 Adiós sección 01001;.;.;;;;
19003 Adobes;.;.;.;.;.;.
1900301 Adobes distrito 01;.;.;.;.;.;.
1900301001 Adobes sección 01001;.;.;.;.;.;.
46002 Ador;10.588;25.111;15.624;14.350;12.242;29.033
4600201 Ador distrito 01;10.588;25.111;15.624;14.350;12.242;29.033
4600201001 Ador sección 01001;10.588;25.111;15.624;14.350;12.242;29.033
04003 Adra;7.845;22.213;12.094;10.850;8.869;25.115
0400301 Adra distrito 01;8.667;24.092;13.333;11.550;9.953;27.667
0400301001 Adra sección 01001;9.155;26.904;14.137;11.900;10.704;31.455
0400301002 Adra sección 01002;8.817;26.078;13.844;12.250;10.187;30.131
0400301003 Adra sección 01003;8.558;23.205;13.081;11.550;9.756;26.454
0400301004 Adra sección 01004;7.585;21.857;11.844;10.850;8.479;24.434
0400301005 Adra sección 01005;8.619;22.228;13.173;11.550;9.829;25.348
0400301006 Adra sección 01006;9.943;27.080;14.920;12.950;11.656;31.745
0400301007 Adra sección 01007;9.030;25.150;13.870;12.250;10.613;29.559
0400302 Adra distrito 02;7.088;19.945;10.840;9.450;7.832;22.040
0400302001 Adra sección 02001;7.743;21.326;11.798;10.150;8.683;23.914
0400302002 Adra sección 02002;6.959;19.677;10.674;9.450;7.700;21.773
0400302003 Adra sección 02003;6.493;18.620;9.938;9.450;7.005;20.088
0400303 Adra distrito 03;7.045;20.168;10.903;10.150;7.793;22.311
0400303001 Adra sección 03001;7.179;20.020;10.935;10.150;7.885;21.988
0400303002 Adra sección 03002;6.240;18.851;9.763;8.750;6.829;20.630
0400303003 Adra sección 03003;7.380;20.853;11.457;10.850;8.228;23.250
0400304 Adra distrito 04;7.932;19.764;12.313;11.200;8.987;22.392
0400304001 Adra sección 04001;7.932;19.764;12.313;11.200;8.987;22.392
0400305 Adra distrito 05;7.031;21.468;10.924;10.150;7.856;23.988
0400305001 Adra sección 05001;6.603;19.884;10.124;9.450;7.297;21.973
0400305002 Adra sección 05002;7.324;22.581;11.474;10.850;8.240;25.404
09003 Adrada de Haza;11.808;26.667;17.143;15.750;13.329;30.102
0900301 Adrada de Haza distrito 01;11.808;26.667;17.143;15.750;13.329;30.102
0900301001 Adrada de Haza sección 01001;11.808;26.667;17.143;15.750;13.329;30.102
40002 Adrada de Pirón;.;.;.;.;.;.
4000201 Adrada de Pirón distrito 01;.;.;.;.;.;.
4000201001 Adrada de Pirón sección 01001;.;.;.;.;.;.
05002 Adrada, La;8.757;20.664;12.833;10.850;10.040;23.692
0500201 Adrada, La distrito 01;8.757;20.664;12.833;10.850;10.040;23.692
0500201001 Adrada, La sección 01001;8.691;20.336;12.671;10.150;9.793;22.916
0500201002 Adrada, La sección 01002;8.830;21.030;13.014;10.850;10.311;24.558
42003 Adradas;.;.;.;.;.;.
4200301 Adradas distrito 01;.;.;.;.;.;.
4200301001 Adradas sección 01001;.;.;.;.;.;.
40003 Adrados;11.454;20.454;14.960;13.650;12.926;23.082
4000301 Adrados distrito 01;11.454;20.454;14.960;13.650;12.926;23.082
4000301001 Adrados sección 01001;11.454;20.454;14.960;13.650;12.926;23.082
20002 Aduna;16.457;45.402;25.540;22.750;19.751;54.490
2000201 Aduna distrito 01;16.457;45.402;25.540;22.750;19.751;54.490
2000201001 Aduna sección 01001;16.457;45.402;25.540;22.750;19.751;54.490
35001 Agaete;10.740;27.894;16.032;13.650;12.448;32.330
3500101 Agaete distrito 01;10.740;27.894;16.032;13.650;12.448;32.330
3500101001 Agaete sección 01001;10.777;28.359;16.198;12.950;12.455;32.773
3500101002 Agaete sección 01002;10.265;27.321;15.458;13.650;11.820;31.460
3500101003 Agaete sección 01003;10.017;26.228;14.993;14.350;11.428;29.923
3500101004 Agaete sección 01004;12.237;28.277;17.557;14.350;14.499;33.504
3500101005 Agaete sección 01005;10.779;29.236;16.313;14.350;12.536;34.002
37002 Agallas;10.337;19.032;13.662;14.350;11.128;20.489
3700201 Agallas distrito 01;10.337;19.032;13.662;14.350;11.128;20.489
3700201001 Agallas sección 01001;10.337;19.032;13.662;14.350;11.128;20.489
25002 Àger;12.247;29.950;18.785;17.850;14.436;35.303
2500201 Àger distrito 01;12.247;29.950;18.785;17.850;14.436;35.303
2500201001 Àger sección 01001;12.247;29.950;18.785;17.850;14.436;35.303
36020 Agolada;9.722;19.286;13.475;12.250;10.643;21.113
3602001 Agolada distrito 01;10.137;22.141;14.508;12.950;11.293;24.665
3602001001 Agolada sección 01001;10.137;22.141;14.508;12.950;11.293;24.665
3602002 Agolada distrito 02;9.268;15.091;11.860;10.850;9.951;16.203
3602002001 Agolada sección 02001;9.268;15.091;11.860;10.850;9.951;16.203
3602003 Agolada distrito 03;9.437;20.372;13.354;12.950;10.174;21.963
3602003001 Agolada sección 03001;9.437;20.372;13.354;12.950;10.174;21.963
50003 Agón;12.173;26.472;17.378;17.150;14.011;30.469
5000301 Agón distrito 01;12.173;26.472;17.378;17.150;14.011;30.469
5000301001 Agón sección 01001;12.173;26.472;17.378;17.150;14.011;30.469
26002 Agoncillo;12.338;28.044;17.594;15.750;14.639;33.273
2600201 Agoncillo distrito 01;12.338;28.044;17.594;15.750;14.639;33.273
2600201001 Agoncillo sección 01001;12.338;28.044;17.594;15.750;14.639;33.273
03002 Agost;9.155;23.962;13.805;12.250;10.501;27.486
0300201 Agost distrito 01;9.155;23.962;13.805;12.250;10.501;27.486
0300201001 Agost sección 01001;8.478;21.284;12.630;11.550;9.684;24.310
0300201002 Agost sección 01002;9.706;25.489;14.568;12.950;11.150;29.282
0300201003 Agost sección 01003;9.324;25.700;14.331;12.950;10.727;29.565
25003 Agramunt;12.072;31.748;18.384;16.450;14.472;38.061
2500301 Agramunt distrito 01;12.072;31.748;18.384;16.450;14.472;38.061
2500301001 Agramunt sección 01001;12.097;28.592;17.587;15.750;14.191;33.542
2500301002 Agramunt sección 01002;11.693;28.057;17.464;15.750;13.772;33.045
2500301003 Agramunt sección 01003;11.871;32.850;18.364;16.450;14.309;39.598
2500301004 Agramunt sección 01004;12.509;34.510;19.296;17.150;15.187;41.900
42004 Ágreda;12.633;30.963;18.624;17.150;14.809;36.296
4200401 Ágreda distrito 01;12.633;30.963;18.624;17.150;14.809;36.296
4200401001 Ágreda sección 01001;12.447;31.260;18.481;17.150;14.618;36.712
4200401002 Ágreda sección 01002;12.868;30.606;18.806;17.150;15.051;35.797
03003 Agres;11.074;24.579;16.113;14.350;12.796;28.402
0300301 Agres distrito 01;11.074;24.579;16.113;14.350;12.796;28.402
0300301001 Agres sección 01001;11.074;24.579;16.113;14.350;12.796;28.402
18001 Agrón;8.655;18.383;12.224;10.850;9.460;20.093
1800101 Agrón distrito 01;8.655;18.383;12.224;10.850;9.460;20.093
1800101001 Agrón sección 01001;8.655;18.383;12.224;10.850;9.460;20.093
41001 Aguadulce;8.323;19.698;12.222;11.200;9.290;21.987
4100101 Aguadulce distrito 01;9.088;20.989;13.259;12.250;10.265;23.709
4100101001 Aguadulce sección 01001;9.088;20.989;13.259;12.250;10.265;23.709
4100102 Aguadulce distrito 02;7.756;18.700;11.447;10.850;8.567;20.656
4100102001 Aguadulce sección 02001;7.756;18.700;11.447;10.850;8.567;20.656
50004 Aguarón;11.956;26.442;17.114;17.150;13.820;30.565
5000401 Aguarón distrito 01;11.956;26.442;17.114;17.150;13.820;30.565
5000401001 Aguarón sección 01001;11.956;26.442;17.114;17.150;13.820;30.565
09006 Aguas Cándidas;.;.;.;.;.;.
0900601 Aguas Cándidas distrito 01;.;.;.;.;.;.
0900601001 Aguas Cándidas sección 01001;.;.;.;.;.;.
47002 Aguasal;.;.;.;.;.;.
4700201 Aguasal distrito 01;.;.;.;.;.;.
4700201001 Aguasal sección 01001;.;.;.;.;.;.
44003 Aguatón;.;.;.;.;.;.
4400301 Aguatón distrito 01;.;.;.;.;.;.
4400301001 Aguatón sección 01001;.;.;.;.;.;.
44004 Aguaviva;11.217;28.405;16.631;14.350;13.036;33.011
4400401 Aguaviva distrito 01;11.217;28.405;16.631;14.350;13.036;33.011
4400401001 Aguaviva sección 01001;11.217;28.405;16.631;14.350;13.036;33.011
13002 Agudo;8.409;19.063;12.045;10.850;9.192;20.838
1300201 Agudo distrito 01;8.409;19.063;12.045;10.850;9.192;20.838
1300201001 Agudo sección 01001;8.423;18.919;11.979;10.150;9.253;20.784
1300201002 Agudo sección 01002;8.387;19.297;12.149;10.850;9.096;20.926
22004 Agüero;13.841;25.877;18.444;18.550;15.968;29.853
2200401 Agüero distrito 01;13.841;25.877;18.444;18.550;15.968;29.853
2200401001 Agüero sección 01001;13.841;25.877;18.444;18.550;15.968;29.853
40004 Aguilafuente;10.968;24.657;15.743;14.350;12.608;28.342
4000401 Aguilafuente distrito 01;10.968;24.657;15.743;14.350;12.608;28.342
4000401001 Aguilafuente sección 01001;10.968;24.657;15.743;14.350;12.608;28.342
09007 Aguilar de Bureba;.;.;.;.;.;.
0900701 Aguilar de Bureba distrito 01;.;.;.;.;.;.
0900701001 Aguilar de Bureba sección 01001;.;.;.;.;.;.
34004 Aguilar de Campoo;13.232;30.466;19.329;17.150;15.977;36.787
3400401 Aguilar de Campoo distrito 01;14.382;30.736;20.808;17.150;18.210;38.916
3400401001 Aguilar de Campoo sección 01001;15.675;34.357;22.915;17.150;20.005;43.846
3400401002 Aguilar de Campoo sección 01002;13.146;27.439;18.787;17.150;16.493;34.427
3400402 Aguilar de Campoo distrito 02;12.739;30.858;18.796;17.850;15.080;36.529
3400402001 Aguilar de Campoo sección 02001;12.475;27.497;17.712;17.150;14.430;31.806
3400402002 Aguilar de Campoo sección 02002;12.752;32.016;19.186;17.850;15.235;38.250
3400402003 Aguilar de Campoo sección 02003;12.842;31.835;19.045;17.850;15.270;37.854
3400403 Aguilar de Campoo distrito 03;12.778;27.583;18.168;16.450;14.744;31.826
3400403001 Aguilar de Campoo sección 03001;12.778;27.583;18.168;16.450;14.744;31.826
47003 Aguilar de Campos;10.343;24.987;15.278;12.950;11.866;28.666
4700301 Aguilar de Campos distrito 01;10.343;24.987;15.278;12.950;11.866;28.666
4700301001 Aguilar de Campos sección 01001;10.343;24.987;15.278;12.950;11.866;28.666
31008 Aguilar de Codés;.;.;;;;
3100801 Aguilar de Codés distrito 01;.;.;;;;
3100801001 Aguilar de Codés sección 01001;.;.;;;;
14002 Aguilar de la Frontera;8.329;20.983;12.355;11.550;9.378;23.625
