location_raw;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población
2500301004 Agramunt sección 01004;42,6;18,5;18,4;2,76;21,2;1.640
42004 Ágreda;45,9;16,3;26,2;2,42;33,1;2.984
4200401 Ágreda distrito 01;45,9;16,3;26,2;2,42;33,1;2.984
4200401001 Ágreda sección 01001;44,2;17;23,4;2,48;31,7;1.665
4200401002 Ágreda sección 01002;48;15,3;29,9;2,36;34,6;1.319
03003 Agres;46,6;12,9;25,3;2,16;38,3;565
0300301 Agres distrito 01;46,6;12,9;25,3;2,16;38,3;565
0300301001 Agres sección 01001;46,6;12,9;25,3;2,16;38,3;565
18001 Agrón;46,9;13,7;25,6;2,1;40,9;277
1800101 Agrón distrito 01;46,9;13,7;25,6;2,1;40,9;277
1800101001 Agrón sección 01001;46,9;13,7;25,6;2,1;40,9;277
41001 Aguadulce;42,5;18,2;20,4;2,35;33,8;1.999
4100101 Aguadulce distrito 01;43;19,1;23,4;2,29;37,3;848
4100101001 Aguadulce sección 01001;43;19,1;23,4;2,29;37,3;848
4100102 Aguadulce distrito 02;42,1;17,5;18,3;2,39;31,2;1.151
4100102001 Aguadulce sección 02001;42,1;17,5;18,3;2,39;31,2;1.151
50004 Aguarón;50,9;10,5;30,4;2,21;35,4;618
5000401 Aguarón distrito 01;50,9;10,5;30,4;2,21;35,4;618
5000401001 Aguarón sección 01001;50,9;10,5;30,4;2,21;35,4;618
09006 Aguas Cándidas;.;.;.;.;.;.
0900601 Aguas Cándidas distrito 01;.;.;.;.;.;.
0900601001 Aguas Cándidas sección 01001;.;.;.;.;.;.
47002 Aguasal;.;.;.;.;.;.
4700201 Aguasal distrito 01;.;.;.;.;.;.
4700201001 Aguasal sección 01001;.;.;.;.;.;.
44003 Aguatón;.;.;.;.;.;.
4400301 Aguatón distrito 01;.;.;.;.;.;.
4400301001 Aguatón sección 01001;.;.;.;.;.;.
44004 Aguaviva;46;15,2;22,1;2,51;31,4;512
4400401 Aguaviva distrito 01;46;15,2;22,1;2,51;31,4;512
4400401001 Aguaviva sección 01001;46;15,2;22,1;2,51;31,4;512
13002 Agudo;50;12,6;32,5;2,25;33,9;1.626
1300201 Agudo distrito 01;50;12,6;32,5;2,25;33,9;1.626
1300201001 Agudo sección 01001;49,6;11,9;30,7;2,25;32,9;1.004
1300201002 Agudo sección 01002;50,6;13,7;35,4;2,25;35,5;622
22004 Agüero;56,5;3,5;40,9;1,87;47,6;129
2200401 Agüero distrito 01;56,8;3,5;41,6;1,87;48,2;129
2200401001 Agüero sección 01001;57;3,5;41,9;1,87;50,7;129
40004 Aguilafuente;50;12,7;28,6;2,24;42,2;573
4000401 Aguilafuente distrito 01;50;12,7;28,6;2,24;42,2;573
4000401001 Aguilafuente sección 01001;50;12,7;28,6;2,24;42,2;573
09007 Aguilar de Bureba;.;.;.;.;.;.
0900701 Aguilar de Bureba distrito 01;.;.;.;.;.;.
0900701001 Aguilar de Bureba sección 01001;.;.;.;.;.;.
34004 Aguilar de Campoo;46;14,2;21,6;2,29;33,3;6.635
3400401 Aguilar de Campoo distrito 01;47,7;12,2;24,8;2,13;38;1.976
3400401001 Aguilar de Campoo sección 01001;46,6;15,1;25,2;2,19;35,5;963
3400401002 Aguilar de Campoo sección 01002;48,7;9,5;24,3;2,08;40,4;1.013
3400402 Aguilar de Campoo distrito 02;44,1;15,8;18,5;2,41;28,5;3.987
3400402001 Aguilar de Campoo sección 02001;48,8;10,1;24,6;2,2;34,5;855
3400402002 Aguilar de Campoo sección 02002;42,9;17,9;18,7;2,5;25;1.060
3400402003 Aguilar de Campoo sección 02003;42,7;17;16;2,47;27,5;2.072
3400403 Aguilar de Campoo distrito 03;52,3;10,4;31;2,15;44,4;672
3400403001 Aguilar de Campoo sección 03001;52,3;10,4;31;2,15;44,4;672
47003 Aguilar de Campos;52,2;9,8;32,9;2,39;38,8;246
4700301 Aguilar de Campos distrito 01;52,2;9,8;32,9;2,39;38,8;246
4700301001 Aguilar de Campos sección 01001;52,2;9,8;32,9;2,39;38,8;246
31008 Aguilar de Codés;.;.;.;.;.;.
3100801 Aguilar de Codés distrito 01;.;.;.;.;.;.
3100801001 Aguilar de Codés sección 01001;.;.;.;.;.;.
14002 Aguilar de la Frontera;42,3;17,5;18,1;2,51;24;13.236
1400201 Aguilar de la Frontera distrito 01;45;14,4;21,6;2,44;24,9;3.164
1400201001 Aguilar de la Frontera sección 01001;43,5;16,9;19,5;2,46;23,6;1.022
1400201002 Aguilar de la Frontera sección 01002;48,7;11,8;28;2,3;31;799
1400201003 Aguilar de la Frontera sección 01003;44;13,9;19,3;2,53;22;1.343
1400202 Aguilar de la Frontera distrito 02;42,5;17,5;19,2;2,54;23;4.036
1400202001 Aguilar de la Frontera sección 02001;44,8;15,4;22,3;2,44;24,9;1.029
1400202002 Aguilar de la Frontera sección 02002;46;14,1;23,9;2,41;26,1;729
1400202003 Aguilar de la Frontera sección 02003;37,2;22,2;11,7;2,7;19,5;1.232
1400202004 Aguilar de la Frontera sección 02004;43,9;16,4;21,7;2,56;22,8;1.046
