,business_status,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
232,OPERATIONAL,autolavanderias martí,4.4,"['laundry', 'point_of_interest', 'establishment']",27.0,39.47526,-0.39289,lavanderias,0326,laundry
233,OPERATIONAL,Tintoreria y Lavanderia Cisne,5.0,"['laundry', 'point_of_interest', 'establishment']",30.0,39.493616300000006,-0.389785,lavanderias,1615,laundry
234,OPERATIONAL,Lavanderia autoservicio,4.5,"['laundry', 'point_of_interest', 'establishment']",11.0,39.4893326,-0.3870086,lavanderias,1610,laundry
235,OPERATIONAL,La Lavandería,2.6,"['laundry', 'point_of_interest', 'establishment']",7.0,39.4883614,-0.38904440000000007,lavanderias,0504,laundry
236,OPERATIONAL,La Colada Benicalap,4.0,"['laundry', 'point_of_interest', 'establishment']",67.0,39.487423,-0.3934829,lavanderias,1619,laundry
237,OPERATIONAL,WASH & GO LAVANDERÍA AUTOSERVICIO,4.4,"['laundry', 'point_of_interest', 'establishment']",44.0,39.4923722,-0.3932723,lavanderias,1612,laundry
239,OPERATIONAL,Tintorería UrbanClean,4.0,"['laundry', 'point_of_interest', 'establishment']",17.0,39.490398,-0.4021,lavanderias,0418,laundry
240,OPERATIONAL,Grigor Sahakyan,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4858944,-0.390135,lavanderias,0414,laundry
241,OPERATIONAL,Com Nova,4.5,"['laundry', 'point_of_interest', 'establishment']",8.0,39.4837084,-0.3967823,lavanderias,0422,laundry
242,OPERATIONAL,Tintoreria El Turia,4.4,"['laundry', 'point_of_interest', 'establishment']",12.0,39.4895477,-0.3716244,lavanderias,0542,laundry
243,OPERATIONAL,La Gobernanta · Valencia (Conde de Salvatierra),0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.46946440000001,-0.3681969,lavanderias,0237,laundry
244,OPERATIONAL,Lavanda,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4735483,-0.3599652,lavanderias,0608,laundry
245,OPERATIONAL,Laundry Can,0.0,"['point_of_interest', 'establishment']",0.0,39.459510200000004,-0.36642820000000004,lavanderias,1005,point_of_interest
246,OPERATIONAL,Pascual Vázquez Blanch,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4320659,-0.36291890000000004,lavanderias,1902,laundry
248,OPERATIONAL,Lacolada | Montolivet - Lavandería Auto-Servicio,3.8,"['laundry', 'point_of_interest', 'establishment']",13.0,39.4600321,-0.3623287000000001,lavanderias,1007,laundry
249,OPERATIONAL,KWL - Aqua Lavanderias Autoservicio,3.6,"['laundry', 'point_of_interest', 'establishment']",63.0,39.4640169,-0.34682840000000004,lavanderias,1240,laundry
250,OPERATIONAL,KWL - AQUA,4.4,"['laundry', 'point_of_interest', 'establishment']",26.0,39.476520799999996,-0.35171420000000003,lavanderias,1322,laundry
251,OPERATIONAL,Lavaxpres,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4672188,-0.35090340000000003,lavanderias,1224,laundry
252,OPERATIONAL,Servicio de lavanderia grupo mejia,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4573215,-0.3625804,lavanderias,1008,laundry
253,OPERATIONAL,Lavanderia Mercado de Algiros,5.0,"['laundry', 'point_of_interest', 'establishment']",2.0,39.4698105,-0.3535486,lavanderias,1220,laundry
